d_install_date,s_app_name,s_app_version,s_os,s_country,s_acquisition_network,s_installing_pckg_group,i_cohort_groups,f_playtime,i_active_users,i_count_sessions
2026-02-02,Wonders Kingdom,10.2,android,BR,AppLovin,com.android.vending,0,105410.2,42,116
2026-02-02,Wonders Kingdom,10.2,android,BR,AppLovin,com.android.vending,1,64774.0,25,66
2026-02-02,Wonders Kingdom,10.2,android,BR,AppLovin,com.android.vending,2,46151.4,13,44
2026-02-02,Wonders Kingdom,10.2,android,BR,AppLovin,com.android.vending,3,10524.5,8,16
2026-02-02,Wonders Kingdom,10.2,android,BR,AppLovin,com.android.vending,4,26027.9,8,25
2026-02-02,Wonders Kingdom,10.2,android,BR,AppLovin,com.android.vending,5,22806.8,8,21
2026-02-02,Wonders Kingdom,10.2,android,BR,AppLovin,com.android.vending,6,8738.4,8,12
2026-02-02,Wonders Kingdom,10.2,android,BR,AppLovin,com.android.vending,7,15590.1,7,12
2026-02-02,Wonders Kingdom,10.2,android,BR,AppLovin,other,0,20572.1,2,11
2026-02-02,Wonders Kingdom,10.2,android,BR,AppLovin,other,1,1129.8,1,3
2026-02-02,Wonders Kingdom,10.2,android,BR,AppLovin,other,2,509.2,1,3
2026-02-02,Wonders Kingdom,10.2,android,BR,Google Ads,com.android.vending,0,113889.9,44,131
2026-02-02,Wonders Kingdom,10.2,android,BR,Google Ads,com.android.vending,1,64725.0,23,60
2026-02-02,Wonders Kingdom,10.2,android,BR,Google Ads,com.android.vending,2,30040.6,14,33
2026-02-02,Wonders Kingdom,10.2,android,BR,Google Ads,com.android.vending,3,19532.5,11,29
2026-02-02,Wonders Kingdom,10.2,android,BR,Google Ads,com.android.vending,4,15249.0,9,18
2026-02-02,Wonders Kingdom,10.2,android,BR,Google Ads,com.android.vending,5,18306.8,8,17
2026-02-02,Wonders Kingdom,10.2,android,BR,Google Ads,com.android.vending,6,8855.2,7,12
2026-02-02,Wonders Kingdom,10.2,android,BR,Google Ads,com.android.vending,7,12789.7,7,12
2026-02-02,Wonders Kingdom,10.2,android,BR,Google Ads,other,0,38385.3,7,27
2026-02-02,Wonders Kingdom,10.2,android,BR,Google Ads,other,1,4023.0,3,4
2026-02-02,Wonders Kingdom,10.2,android,BR,Google Ads,other,2,5257.2,2,9
2026-02-02,Wonders Kingdom,10.2,android,BR,Google Ads,other,3,2408.9,2,3
2026-02-02,Wonders Kingdom,10.2,android,BR,Google Ads,other,4,2724.2,2,4
2026-02-02,Wonders Kingdom,10.2,android,BR,Google Ads,other,5,6810.8,2,6
2026-02-02,Wonders Kingdom,10.2,android,BR,Google Ads,other,6,5453.8,2,5
2026-02-02,Wonders Kingdom,10.2,android,BR,Google Ads,other,7,3086.6,2,4
2026-02-02,Wonders Kingdom,10.2,android,BR,Meta Ads,com.android.vending,0,354637.4,105,332
2026-02-02,Wonders Kingdom,10.2,android,BR,Meta Ads,com.android.vending,1,151045.2,61,158
2026-02-02,Wonders Kingdom,10.2,android,BR,Meta Ads,com.android.vending,2,112624.6,43,112
2026-02-02,Wonders Kingdom,10.2,android,BR,Meta Ads,com.android.vending,3,71234.5,34,76
2026-02-02,Wonders Kingdom,10.2,android,BR,Meta Ads,com.android.vending,4,59100.1,27,58
2026-02-02,Wonders Kingdom,10.2,android,BR,Meta Ads,com.android.vending,5,50043.7,26,51
2026-02-02,Wonders Kingdom,10.2,android,BR,Meta Ads,com.android.vending,6,50400.3,26,47
2026-02-02,Wonders Kingdom,10.2,android,BR,Meta Ads,com.android.vending,7,39636.1,23,37
2026-02-02,Wonders Kingdom,10.2,android,BR,Meta Ads,other,0,28766.8,10,39
2026-02-02,Wonders Kingdom,10.2,android,BR,Meta Ads,other,1,18136.9,6,24
2026-02-02,Wonders Kingdom,10.2,android,BR,Meta Ads,other,2,15454.6,4,16
2026-02-02,Wonders Kingdom,10.2,android,BR,Meta Ads,other,3,8995.4,3,9
2026-02-02,Wonders Kingdom,10.2,android,BR,Meta Ads,other,4,10735.7,3,9
2026-02-02,Wonders Kingdom,10.2,android,BR,Meta Ads,other,5,5434.1,3,9
2026-02-02,Wonders Kingdom,10.2,android,BR,Meta Ads,other,6,3506.2,3,5
2026-02-02,Wonders Kingdom,10.2,android,BR,Meta Ads,other,7,1796.0,3,6
2026-02-02,Wonders Kingdom,10.2,android,BR,Organic,com.android.vending,0,301035.0,81,275
2026-02-02,Wonders Kingdom,10.2,android,BR,Organic,com.android.vending,1,143553.8,42,129
2026-02-02,Wonders Kingdom,10.2,android,BR,Organic,com.android.vending,2,92328.7,36,88
2026-02-02,Wonders Kingdom,10.2,android,BR,Organic,com.android.vending,3,59303.5,28,72
2026-02-02,Wonders Kingdom,10.2,android,BR,Organic,com.android.vending,4,43267.9,19,55
2026-02-02,Wonders Kingdom,10.2,android,BR,Organic,com.android.vending,5,35574.4,17,40
2026-02-02,Wonders Kingdom,10.2,android,BR,Organic,com.android.vending,6,29369.4,17,29
2026-02-02,Wonders Kingdom,10.2,android,BR,Organic,com.android.vending,7,34529.5,17,33
2026-02-02,Wonders Kingdom,10.2,android,BR,Organic,other,0,10825.3,3,10
2026-02-02,Wonders Kingdom,10.2,android,BR,Organic,other,1,6436.8,2,5
2026-02-02,Wonders Kingdom,10.2,android,BR,TikTok,com.android.vending,0,64128.3,20,65
2026-02-02,Wonders Kingdom,10.2,android,BR,TikTok,com.android.vending,1,23613.2,4,10
2026-02-02,Wonders Kingdom,10.2,android,BR,TikTok,com.android.vending,2,4067.1,3,6
2026-02-02,Wonders Kingdom,10.2,android,BR,TikTok,com.android.vending,3,7424.3,3,8
2026-02-02,Wonders Kingdom,10.2,android,BR,Unity Ads,com.android.vending,0,102275.7,27,92
2026-02-02,Wonders Kingdom,10.2,android,BR,Unity Ads,com.android.vending,1,18189.1,11,29
2026-02-02,Wonders Kingdom,10.2,android,BR,Unity Ads,com.android.vending,2,17603.8,8,20
2026-02-02,Wonders Kingdom,10.2,android,BR,Unity Ads,com.android.vending,3,11296.0,8,16
2026-02-02,Wonders Kingdom,10.2,android,BR,Unity Ads,com.android.vending,4,18085.9,7,16
2026-02-02,Wonders Kingdom,10.2,android,BR,Unity Ads,com.android.vending,5,17483.8,7,16
2026-02-02,Wonders Kingdom,10.2,android,BR,Unity Ads,com.android.vending,6,11475.8,7,15
2026-02-02,Wonders Kingdom,10.2,android,BR,Unity Ads,com.android.vending,7,10625.0,6,13
2026-02-02,Wonders Kingdom,10.2,android,BR,Unity Ads,other,0,1022.0,1,3
2026-02-02,Wonders Kingdom,10.2,android,BR,Unity Ads,other,1,1139.3,1,2
2026-02-02,Wonders Kingdom,10.2,android,BR,Unity Ads,other,2,4536.7,1,3
2026-02-02,Wonders Kingdom,10.2,android,BR,Unity Ads,other,3,1195.8,1,3
2026-02-02,Wonders Kingdom,10.2,android,BR,Unity Ads,other,4,296.4,1,1
2026-02-02,Wonders Kingdom,10.2,android,BR,Unity Ads,other,5,1323.5,1,1
2026-02-02,Wonders Kingdom,10.2,android,BR,Unity Ads,other,6,1046.1,1,1
2026-02-02,Wonders Kingdom,10.2,android,BR,Unity Ads,other,7,571.1,1,1
2026-02-02,Wonders Kingdom,10.2,android,BR,ironSource,com.android.vending,0,56907.3,29,74
2026-02-02,Wonders Kingdom,10.2,android,BR,ironSource,com.android.vending,1,52190.6,19,57
2026-02-02,Wonders Kingdom,10.2,android,BR,ironSource,com.android.vending,2,21418.2,12,25
2026-02-02,Wonders Kingdom,10.2,android,BR,ironSource,com.android.vending,3,12994.9,8,20
2026-02-02,Wonders Kingdom,10.2,android,BR,ironSource,com.android.vending,4,8442.9,6,9
2026-02-02,Wonders Kingdom,10.2,android,BR,ironSource,com.android.vending,5,12557.9,6,10
2026-02-02,Wonders Kingdom,10.2,android,BR,ironSource,com.android.vending,6,8042.0,6,11
2026-02-02,Wonders Kingdom,10.2,android,BR,ironSource,com.android.vending,7,10978.0,6,11
2026-02-02,Wonders Kingdom,10.2,android,BR,ironSource,other,0,3539.4,1,4
2026-02-02,Wonders Kingdom,10.2,android,BR,ironSource,other,1,1351.2,1,1
2026-02-02,Wonders Kingdom,10.2,android,BR,ironSource,other,2,322.3,1,1
2026-02-02,Wonders Kingdom,10.2,android,DE,AppLovin,com.android.vending,0,76107.0,21,67
2026-02-02,Wonders Kingdom,10.2,android,DE,AppLovin,com.android.vending,1,33151.7,13,32
2026-02-02,Wonders Kingdom,10.2,android,DE,AppLovin,com.android.vending,2,26298.9,11,25
2026-02-02,Wonders Kingdom,10.2,android,DE,AppLovin,com.android.vending,3,32923.2,11,39
2026-02-02,Wonders Kingdom,10.2,android,DE,AppLovin,com.android.vending,4,17615.2,10,26
2026-02-02,Wonders Kingdom,10.2,android,DE,AppLovin,com.android.vending,5,8830.2,7,8
2026-02-02,Wonders Kingdom,10.2,android,DE,AppLovin,com.android.vending,6,10094.0,5,8
2026-02-02,Wonders Kingdom,10.2,android,DE,AppLovin,com.android.vending,7,6027.0,4,6
2026-02-02,Wonders Kingdom,10.2,android,DE,Google Ads,com.android.vending,0,105105.5,32,107
2026-02-02,Wonders Kingdom,10.2,android,DE,Google Ads,com.android.vending,1,39943.4,18,38
2026-02-02,Wonders Kingdom,10.2,android,DE,Google Ads,com.android.vending,2,33993.9,15,49
2026-02-02,Wonders Kingdom,10.2,android,DE,Google Ads,com.android.vending,3,48865.9,14,38
2026-02-02,Wonders Kingdom,10.2,android,DE,Google Ads,com.android.vending,4,11391.0,13,18
2026-02-02,Wonders Kingdom,10.2,android,DE,Google Ads,com.android.vending,5,19242.1,10,24
2026-02-02,Wonders Kingdom,10.2,android,DE,Google Ads,com.android.vending,6,10152.7,8,15
2026-02-02,Wonders Kingdom,10.2,android,DE,Google Ads,com.android.vending,7,8753.4,7,12
2026-02-02,Wonders Kingdom,10.2,android,DE,Meta Ads,com.android.vending,0,109224.1,43,120
2026-02-02,Wonders Kingdom,10.2,android,DE,Meta Ads,com.android.vending,1,33584.4,22,67
2026-02-02,Wonders Kingdom,10.2,android,DE,Meta Ads,com.android.vending,2,46793.8,17,47
2026-02-02,Wonders Kingdom,10.2,android,DE,Meta Ads,com.android.vending,3,30886.1,12,32
2026-02-02,Wonders Kingdom,10.2,android,DE,Meta Ads,com.android.vending,4,24762.3,10,24
2026-02-02,Wonders Kingdom,10.2,android,DE,Meta Ads,com.android.vending,5,21141.3,10,20
2026-02-02,Wonders Kingdom,10.2,android,DE,Meta Ads,com.android.vending,6,16092.0,7,13
2026-02-02,Wonders Kingdom,10.2,android,DE,Meta Ads,com.android.vending,7,13737.4,6,15
2026-02-02,Wonders Kingdom,10.2,android,DE,Meta Ads,other,0,7919.8,3,9
2026-02-02,Wonders Kingdom,10.2,android,DE,Meta Ads,other,1,1370.3,1,3
2026-02-02,Wonders Kingdom,10.2,android,DE,Meta Ads,other,2,5093.1,1,4
2026-02-02,Wonders Kingdom,10.2,android,DE,Meta Ads,other,3,5878.5,1,5
2026-02-02,Wonders Kingdom,10.2,android,DE,Meta Ads,other,4,5569.7,1,6
2026-02-02,Wonders Kingdom,10.2,android,DE,Meta Ads,other,5,1988.0,1,2
2026-02-02,Wonders Kingdom,10.2,android,DE,Meta Ads,other,6,1976.0,1,1
2026-02-02,Wonders Kingdom,10.2,android,DE,Meta Ads,other,7,3304.4,1,4
2026-02-02,Wonders Kingdom,10.2,android,DE,Organic,com.android.vending,0,98984.6,36,105
2026-02-02,Wonders Kingdom,10.2,android,DE,Organic,com.android.vending,1,42768.4,18,42
2026-02-02,Wonders Kingdom,10.2,android,DE,Organic,com.android.vending,2,20552.2,12,25
2026-02-02,Wonders Kingdom,10.2,android,DE,Organic,com.android.vending,3,32167.9,11,31
